UID,Activate,Serial NO.,Bluetooth ID,Fixed date,Imp [kWh],Exp [kWh],ImpMaxDemand [kW],ExpMaxDemand [kW],MinVolt [V],Alert,Read date
1,0,0000001250,48:23:35:0E:2A:67,,,,,,,,
2,0,0000001251,48:23:35:10:57:43,,,,,,,,
3,0,0000001252,48:23:35:10:57:A6,,,,,,,,
4,0,0000001253,48:23:35:10:4D:5C,,,,,,,,
5,0,0000001254,48:23:35:10:53:3F,,,,,,,,
6,0,0000001255,48:23:35:0E:37:21,,,,,,,,
7,0,0000001256,48:23:35:0E:33:65,,,,,,,,
8,0,0000001257,48:23:35:0E:31:CE,,,,,,,,
9,0,0000001258,48:23:35:0E:3D:1A,,,,,,,,
10,0,0000001259,48:23:35:10:55:7E,,,,,,,,
11,0,0000001260,48:23:35:0E:3C:34,,,,,,,,
12,0,0000001261,48:23:35:0E:2C:79,,,,,,,,
13,0,0000001262,48:23:35:0E:2B:DD,,,,,,,,
14,0,0000001286,48:23:35:0E:47:E3,,,,,,,,
